ds,y_pred,y_lower,y_upper
2025-10-13,62.0,55.632815395738724,68.36718460426128
2025-10-14,62.0,52.99544117853759,71.00455882146241
2025-10-15,62.0,50.97171276427699,73.02828723572301
2025-10-16,62.0,49.26563079151363,74.73436920848637
2025-10-17,62.0,47.76254239962484,76.23745760037517
2025-10-18,62.0,46.40364662150427,77.59635337849572
2025-10-19,62.0,45.154012985540156,78.84598701445984
2025-10-20,62.0,43.990882357100766,80.00911764289924
2025-10-21,62.0,42.8984461872805,81.1015538127195
2025-10-22,62.0,41.86519436784518,82.13480563215482
2025-10-23,62.0,40.88243769681054,83.11756230318946
2025-10-24,62.0,39.94342552857486,84.05657447142514
2025-10-25,62.0,39.04278942907136,84.95721057092864
2025-10-26,62.0,38.176176692596286,85.82382330740371
2025-10-27,62.0,37.34000006555502,86.65999993444498
2025-10-28,62.0,36.53126158304536,87.46873841695464
2025-10-29,62.0,35.74742533891778,88.25257466108222
2025-10-30,62.0,34.986323535658265,89.01367646434173
2025-10-31,62.0,34.2460857552567,89.7539142447433
2025-11-01,62.0,33.52508479926587,90.47491520073413
2025-11-02,62.0,32.82189458732054,91.17810541267946
2025-11-03,62.0,32.13525698657581,91.86474301342419
2025-11-04,62.0,31.464055360243012,92.53594463975699
2025-11-05,62.0,30.807293243023327,93.19270675697668
2025-11-06,62.0,30.164076978809412,93.83592302119058
2025-11-07,62.0,29.533601456342474,94.46639854365753
2025-11-08,62.0,28.915138292868107,95.08486170713189
2025-11-09,62.0,28.308025971093997,95.691974028906
2025-11-10,62.0,27.71166154872897,96.28833845127103
2025-11-11,62.0,27.12549364459268,96.87450635540732
